package,dependency,kind,optional
store-test-runner,serde,normal,false
store-test-runner,serde_json,normal,false
store-test-runner,sha2,normal,false
store-test-runner,proc-macro2,dev,false
store-test-runner,syn,dev,false
store-test-runner,tempfile,normal,false
store-test-runner,trybuild,dev,false
store-test-runner,worth-proof,dev,false
store-test-runner,worth-store,normal,true
store-test-runner,worth-store-io-scheduler,dev,false
store-test-runner,worth-store-physical-certification,normal,true
store-test-runner,worth-store-physical-isolation,dev,false
worth-store,getrandom,normal,false
worth-store,serde,dev,false
worth-store,serde_json,dev,false
worth-store,sha2,build,false
worth-store,sha2,normal,false
worth-store,stats_alloc,dev,false
worth-store,tempfile,dev,false
worth-store,tracking-allocator,normal,false
worth-store,trybuild,dev,false
worth-store,worth-foundational,dev,false
worth-store,worth-foundational,normal,false
worth-store,worth-proof,normal,false
worth-store,worth-signal,normal,false
worth-store,worth-store-aspect-native,normal,false
worth-store,worth-store-authority,normal,false
worth-store,worth-store-buffer-pool,normal,false
worth-store,worth-store-contracts,normal,false
worth-store,worth-store-io-scheduler,normal,false
worth-store,worth-store-offline-verifier,dev,false
worth-store,worth-store-physical-backend,normal,false
worth-store,worth-store-physical-format,normal,false
worth-store,worth-store-security,normal,false
worth-store,worth-store-wal,normal,false
worth-store-physical-backend,cap-fs-ext,normal,false
worth-store-physical-backend,cap-std,normal,false
worth-store-physical-backend,file-id,normal,false
worth-store-physical-backend,fs4,normal,false
worth-store-physical-backend,getrandom,normal,false
worth-store-physical-backend,same-file,normal,false
worth-store-physical-backend,sha2,build,false
worth-store-physical-backend,sha2,normal,false
worth-store-physical-backend,stats_alloc,dev,false
worth-store-physical-backend,sysinfo,normal,false
worth-store-physical-backend,tempfile,normal,false
worth-store-physical-backend,winapi-util,normal,false
worth-store-physical-backend,worth-foundational,normal,true
worth-store-physical-backend,worth-proof,normal,false
worth-store-physical-backend,worth-store-aspect-native,dev,false
worth-store-physical-backend,worth-store-authority,normal,false
worth-store-physical-backend,worth-store-contracts,normal,false
worth-store-physical-backend,worth-store-physical-format,normal,false
worth-store-physical-backend,worth-store-security,dev,false
worth-store-physical-backend,worth-store-security,normal,false
worth-store-physical-isolation,fs4,normal,false
worth-store-physical-isolation,sha2,normal,false
worth-store-physical-isolation,tempfile,dev,false
worth-store-physical-isolation,worth-foundational,normal,false
worth-store-physical-isolation,worth-proof,normal,false
worth-store-physical-isolation,worth-store,normal,false
worth-store-physical-isolation,worth-store-authority,normal,false
worth-store-physical-isolation,worth-store-budgets,normal,false
worth-store-physical-isolation,worth-store-contracts,normal,false
worth-store-physical-isolation,worth-store-physical-backend,dev,false
worth-store-physical-isolation,worth-store-physical-backend,normal,false
worth-store-physical-isolation,worth-store-physical-format,normal,false
worth-store-physical-isolation,worth-store-physical-integrity,normal,false
worth-store-physical-isolation,worth-store-recovery-physics,dev,false
worth-store-physical-isolation,worth-store-recovery-physics,normal,false
worth-store-physical-isolation,worth-store-security,normal,false
worth-store-physical-isolation,worth-store-wal,dev,false
worth-store-physical-isolation,worth-store-wal,normal,false
worth-store-recovery-physics,sha2,normal,false
worth-store-recovery-physics,tempfile,dev,false
worth-store-recovery-physics,tempfile,normal,true
worth-store-recovery-physics,worth-foundational,normal,false
worth-store-recovery-physics,worth-proof,normal,false
worth-store-recovery-physics,worth-store,normal,false
worth-store-recovery-physics,worth-store-aspect-native,normal,false
worth-store-recovery-physics,worth-store-authority,dev,false
worth-store-recovery-physics,worth-store-authority,normal,false
worth-store-recovery-physics,worth-store-budgets,normal,false
worth-store-recovery-physics,worth-store-contracts,normal,false
worth-store-recovery-physics,worth-store-physical-backend,normal,false
worth-store-recovery-physics,worth-store-physical-format,normal,false
worth-store-recovery-physics,worth-store-physical-integrity,normal,false
worth-store-recovery-physics,worth-store-readiness,dev,false
worth-store-recovery-physics,worth-store-security,normal,false
worth-store-recovery-physics,worth-store-test-support,dev,false
worth-store-recovery-physics,worth-store-wal,normal,false
worth-store-wal,sha2,normal,false
worth-store-wal,tempfile,dev,false
worth-store-wal,worth-foundational,dev,false
worth-store-wal,worth-proof,dev,false
worth-store-wal,worth-store-aspect-native,dev,false
worth-store-wal,worth-store-authority,normal,false
worth-store-wal,worth-store-contracts,normal,false
worth-store-wal,worth-store-modes,normal,false
worth-store-wal,worth-store-physical-backend,dev,false
worth-store-wal,worth-store-physical-backend,normal,false
worth-store-wal,worth-store-physical-format,normal,false
worth-store-wal,worth-store-security,dev,false
worth-store-wal,worth-store-security,normal,false
