[cut-diag] Face#1 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#16 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#15 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#17 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#0 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#19 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#18 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#20 by plane#10: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#3 by plane#4: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#2 by plane#4: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#1 by plane#4: 1 cut_points found, 1 unique after dedup
[cut-diag] Face#0 by plane#4: 1 cut_points found, 1 unique after dedup
